Wall time,Step,Value
1668658731.167116,275949,0.0
1668658949.6307642,389997,0.0
1668658996.2130466,413757,0.0
1668659619.9230478,740061,0.0
1668659757.0282993,811341,0.0
1668659894.9100893,884205,0.0
1668660206.0096211,1045773,0.0
1668660649.6524785,1277037,0.0
1668661324.820457,1628685,0.0
1668661356.6452286,1646109,0.0
1668661646.780723,1796589,0.0
1668661803.210864,1878957,0.0
1668662065.7574556,2016765,0.0
1668662512.2645426,2248029,0.0
1668662638.5904768,2312973,0.0
1668662747.2014008,2369997,0.0
1668662794.0578315,2395341,0.0
1668662907.7602525,2455533,0.0
1668662962.2802298,2482461,0.0
1668664098.9525282,3075606,0.0
1668664162.4970744,3107286,0.0
1668665626.175127,3860877,0.3232954442501068
1668665706.5146217,3902061,0.0
1668665834.3036866,3967005,0.0
1668666056.8501391,4083632,0.0
1668666390.374863,4253120,0.0
1668666418.0848892,4267376,0.0
1668666466.1131392,4291136,0.0
1668666493.4416256,4305392,0.0
1668666649.8708737,4386176,0.0
1668667625.9904656,4885136,0.0
1668667694.431206,4919984,0.0
1668667816.069289,4983344,0.0
1668668111.6887276,5135408,0.0
1668668187.2572882,5173424,0.0
1668668465.1299086,5317568,0.0
1668669109.1261783,5649945,0.0
1668669218.2769248,5703801,0.0
1668669267.0086517,5729145,0.0
1668669383.9577746,5789337,0.0
1668669428.7629066,5811513,0.0
1668669436.8866532,5816265,0.0
1668669986.49571,6096633,0.0
1668670193.472939,6202295,0.0
1668670523.3955863,6373367,0.0
1668670791.5663445,6509591,0.0
1668670827.5309494,6528599,0.0
1668671013.2290459,6623639,0.0
1668671045.0801039,6641063,0.0
1668671152.4155514,6696503,0.0
1668671462.9815829,6856487,0.0
1668672195.1386197,7228815,0.0
1668673010.8728461,7648994,0.0
1668673795.190068,8051423,0.0
1668673935.5493283,8124133,0.0
1668674091.2865906,8204162,0.0
1668674130.5075912,8223986,0.0
1668674320.7081141,8322194,0.0
1668674424.644869,8374466,0.0
1668674621.9659338,8476155,0.0
1668674900.2033553,8619924,0.0
1668675545.597263,8951287,0.0
1668676046.6487339,9208169,0.0
1668676145.613287,9260828,0.0
1668676184.6005085,9281420,0.0
1668676497.0654187,9439999,0.0
1668676543.8959816,9464316,0.0
