Wall time,Step,Value
1668843238.5173728,85025,0.0
1668843303.5779607,119585,0.0
1668843315.2729094,126785,0.0
1668843502.9341116,225665,0.0
1668843541.0489476,247265,0.0
1668843583.1807127,269345,0.0
1668843675.434158,318305,0.0
1668843805.149367,388385,0.0
1668844004.989755,494945,0.0
1668844016.6212554,500225,0.0
1668844100.8825011,545825,0.0
1668844146.787478,570785,0.0
1668844227.206376,612545,0.0
1668844357.5053868,682625,0.0
1668844392.2034404,702305,0.0
1668844427.2495246,719585,0.0
1668844442.5490503,727265,0.0
1668844477.1919808,745505,0.0
1668844492.5207627,753665,0.0
1668844827.3707263,933665,0.0
1668844846.508034,943265,0.0
1668845278.9888594,1171745,0.0
1668845302.111861,1184225,0.0
1668845336.4759583,1203905,0.0
1668845405.8397593,1239425,0.0
1668845501.5707734,1290785,0.0
1668845509.361387,1295105,0.0
1668845520.8300557,1302305,0.0
1668845532.3997445,1306625,0.0
1668845575.146728,1331105,0.0
1668845859.8955202,1481913,0.0
1668845879.197136,1492473,0.0
1668845917.537425,1511673,0.0
1668846002.6896799,1557681,0.0
1668846025.8106375,1569201,0.0
1668846106.328973,1612830,0.0
1668846296.477995,1713630,0.0
1668846327.6117687,1729950,0.0
1668846343.243261,1737630,0.0
1668846378.9216115,1755787,0.0
1668846390.8123271,1762507,0.0
1668846394.6697738,1763947,0.0
1668846554.7199323,1848907,0.0
1668846616.6370292,1881067,0.0
1668846713.6499896,1932907,0.0
1668846791.6457438,1974187,0.0
1668846803.3464856,1979947,0.0
1668846857.9504733,2008665,0.0
1668846869.6303632,2013945,0.0
1668846900.6091385,2030745,0.0
1668846993.9252336,2079225,0.0
1668847208.5638025,2192505,0.0
1668847453.5712407,2321145,0.0
1668847688.4070594,2444985,0.0
1668847731.1612813,2467065,0.0
1668847777.7482004,2491545,0.0
1668847789.4517355,2497785,0.0
1668847847.713645,2527545,0.0
1668847874.8534818,2543385,0.0
1668847937.46822,2575545,0.0
1668848023.6051412,2619705,0.0
1668848218.529828,2721945,0.0
1668848367.1506805,2801145,0.0
1668848398.513647,2817465,0.0
1668848410.353848,2823705,0.0
1668848504.322583,2872665,0.0
1668848519.975155,2880345,0.0
1668848571.967624,2907225,0.0
1668848650.165615,2948025,0.0
1668848728.9938927,2989785,0.0
1668848780.6871088,3015705,0.0
1668848831.6162658,3042105,0.0
1668848862.8476722,3058905,0.0
1668849046.914866,3154769,0.0
1668849196.7555113,3231926,0.0
1668849212.5747228,3241526,0.0
1668849306.1387641,3289526,0.0
1668849369.03295,3322461,0.0
1668849435.7230492,3357021,0.0
1668849491.0264676,3387261,0.0
1668849676.3896785,3482781,0.0
1668849845.6483343,3570621,0.0
1668849873.4357548,3584061,0.0
1668849944.887397,3621981,0.0
1668850039.2241771,3670461,0.0
1668850117.7022228,3711741,0.0
1668850176.8135867,3742461,0.0
1668850354.4005785,3834590,0.0
1668850480.3115296,3899870,0.0
1668850632.335201,3980990,0.0
1668850869.6040049,4104350,0.0
1668850873.439676,4107230,0.0
1668850931.6875892,4137950,0.0
1668850970.707835,4157630,0.0
1668851001.8160903,4174430,0.0
1668851029.074885,4188830,0.0
1668851052.2385945,4202270,0.0
1668851075.6137435,4213790,0.0
1668851075.6139824,4214750,0.0
1668851118.3297155,4236350,0.0
1668851126.0830612,4241150,0.0
1668851168.8656392,4262270,0.0
1668851331.4047675,4349150,0.0
1668851416.634402,4394270,0.0
1668851509.4448416,4442270,0.0
1668851544.0964496,4460990,0.0
1668851575.2071445,4478270,0.0
1668851606.212094,4493630,0.0
1668851777.078029,4583870,0.0
1668851924.909764,4663070,0.0
1668851963.5218635,4682750,0.0
1668851963.5219834,4683230,0.0
1668852040.719356,4723070,0.0
1668852067.8887336,4737470,0.0
1668852091.1318667,4750430,0.0
1668852110.497712,4761470,0.0
1668852141.8055646,4776830,0.0
1668852165.28112,4788350,0.0
1668852169.214172,4791230,0.0
1668852246.8209944,4831550,0.0
1668852270.124681,4844510,0.0
1668852297.4426672,4859390,0.0
1668852364.044602,4892990,0.0
1668852500.3739548,4965470,0.0
1668852547.0505464,4990910,0.0
1668852593.5855937,5014910,0.0
1668852605.1747487,5021150,0.0
1668852659.4026618,5049950,0.0
1668852698.625873,5070590,0.0
1668852776.7813017,5109950,0.0
1668852776.7815716,5110910,0.0
1668852835.12614,5140670,0.0
1668852850.6029196,5148830,0.0
1668853122.370653,5292249,0.0
1668853207.2875402,5337849,0.0
1668853296.878455,5385849,0.0
1668853401.1979632,5440089,0.0
1668853459.154851,5470329,0.0
1668853844.8611698,5674329,0.0
1668853887.955005,5697369,0.0
1668854035.9666357,5774169,0.0
1668854079.027901,5797689,0.0
1668854301.105523,5912889,0.0
1668854335.657255,5931129,0.0
1668854374.5898516,5952249,0.0
1668854374.5901248,5953209,0.0
1668854444.4895604,5989689,0.0
1668854658.500525,6101049,0.0
1668854833.7191594,6193689,0.0
1668854837.7215993,6195609,0.0
1668854872.4574554,6214329,0.0
1668855200.6374915,6387129,0.0
1668855278.603724,6427449,0.0
1668855306.036579,6441727,0.0
1668855399.7547278,6491429,0.0
1668855427.4185183,6504869,0.0
1668855493.2034514,6539909,0.0
1668855508.820604,6549029,0.0
1668855512.7862403,6551429,0.0
1668855657.0776715,6625829,0.0
1668855700.0263875,6648389,0.0
1668855809.2448092,6706774,0.0
1668855817.1224983,6711094,0.0
1668855879.2599332,6742774,0.0
1668856008.2411275,6810934,0.0
1668856023.933249,6819574,0.0
1668856078.3873103,6847894,0.0
1668856167.5801702,6893974,0.0
1668856405.414064,7019734,0.0
1668856425.136742,7030294,0.0
1668856518.0496492,7078294,0.0
1668856615.2123666,7129174,0.0
1668856626.7735333,7135414,0.0
1668856767.7400737,7209814,0.0
1668856810.5984716,7231595,0.0
1668856814.4051373,7233995,0.0
1668856861.3683252,7259915,0.0
1668856919.4259455,7289195,0.0
1668857086.2227874,7378475,0.0
1668857304.9365895,7493195,0.0
1668857332.4364986,7506635,0.0
1668857882.305935,7796075,0.0
1668858022.0421484,7868555,0.0
1668858423.0707726,8080715,0.0
1668858454.1661909,8095851,0.0
1668858465.862192,8102571,0.0
1668858469.8271415,8104011,0.0
1668858489.1526973,8115531,0.0
1668858528.1224132,8134731,0.0
1668858684.482736,8217771,0.0
1668858692.3535376,8221131,0.0
1668858815.9929338,8286411,0.0
1668858932.994829,8349291,0.0
1668859088.7951112,8430411,0.0
1668859150.289848,8463531,0.0
1668859208.3506446,8494731,0.0
1668859239.3758106,8511051,0.0
1668859491.7148166,8642571,0.0
1668859597.0473547,8698251,0.0
1668859604.867815,8702091,0.0
1668859608.725145,8704011,0.0
1668859608.7256474,8705931,0.0
1668859852.7134788,8834571,0.0
1668859922.6606107,8871051,0.0
1668860176.0018272,9004491,0.0
1668860183.9405792,9007371,0.0
1668860211.4347866,9021771,0.0
1668860308.6949506,9074091,0.0
1668860495.6111388,9172491,0.0
1668860499.4424512,9174411,0.0
1668860589.165726,9220491,0.0
1668860686.7526908,9273291,0.0
1668860741.3768766,9301131,0.0
1668860854.2987669,9360651,0.0
1668860896.625459,9382251,0.0
1668860958.77037,9416331,0.0
1668861164.6932209,9523851,0.0
1668861238.4725041,9562731,0.0
1668861309.0031464,9599691,0.0
1668861760.9128535,9836811,0.0
1668861839.0700912,9877611,0.0
1668861873.8975382,9896811,0.0
1668861897.1056561,9910251,0.0
1668861916.6653564,9919851,0.0
1668862002.2480588,9964971,0.0
1668862076.144607,10003851,0.0
1668862193.1872673,10064811,0.0
1668862205.01748,10070091,0.0
1668862220.5923722,10080171,0.0
1668862255.5873144,10097451,0.0
1668862271.2976775,10105131,0.0
1668862341.0588374,10142091,0.0
1668862465.607292,10208331,0.0
1668862504.4912965,10229451,0.0
1668862839.6720269,10404651,0.0
1668863194.8425176,10590411,0.0
1668863284.5568871,10637931,0.0
1668863416.4855595,10707531,0.0
1668863482.652098,10742571,0.0
1668863774.9936903,10897131,0.0
1668863826.0162852,10923051,0.0
1668864113.8395245,11074251,0.0
1668864145.421442,11091051,0.0
1668864417.802425,11235051,0.0
1668864421.6020405,11235531,0.0
1668864503.5551596,11280171,0.0
1668864585.0792992,11322891,0.0
1668865303.8524613,11701611,0.0
1668865389.5301254,11745291,0.0
1668865389.5306334,11747211,0.0
1668865409.2379358,11756331,0.0
1668865603.9943473,11858066,0.0
1668865615.7725012,11864629,0.0
1668865650.8587422,11883829,0.0
1668865716.8330922,11917429,0.0
1668865728.5121634,11924629,0.0
1668865759.5178564,11939989,0.0
1668865763.3077216,11943349,0.0
1668865814.0950258,11970220,0.0
1668865864.8134205,11995660,0.0
1668865919.7231467,12025420,0.0
1668865973.9714005,12053712,0.0
1668866098.4218838,12119472,0.0
1668866277.1188512,12213072,0.0
1668866463.7221155,12311472,0.0
1668866514.2032886,12337392,0.0
1668866522.037361,12343152,0.0
1668866709.9592643,12440112,0.0
1668866721.5499191,12445872,0.0
1668867026.2872095,12606192,0.0
1668867061.6415005,12625392,0.0
1668867131.6660774,12660912,0.0
1668867170.530467,12682032,0.0
1668867377.2860951,12790032,0.0
1668867419.786756,12812592,0.0
1668867528.773289,12871632,0.0
1668867676.8389678,12945552,0.0
1668867717.073101,12966672,0.0
1668867729.0751128,12973872,0.0
1668867800.8556037,13009872,0.0
1668867992.930604,13107792,0.0
1668868128.3502545,13177872,0.0
1668868192.426779,13210032,0.0
1668868288.023018,13260432,0.0
1668868444.9677029,13340112,0.0
1668868485.1500225,13359792,0.0
